Group;Kingdom;Phylum;Class;Order;Family;Genus;Species;scientificName_used_in_dataset;scientificName_harmonized;taxonRank_of_scientificName;Reference_taxonRank_WoRMS;Reference_taxonRank_NCBI;Reference_taxonRank_GTDB;Status_of_name_worms;environment_worms;Date_of_access_WORMS_or_NCBI;metabolism;In_symbiosis_or_freeliving_reference;Singular_or_colony_forming_reference;Synonyms_if_available;Notes
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix fasciculata;Calothrix fasciculata C.Agardh ex Bornet & Flahault;Calothrix fasciculata;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix aeruginea;Calothrix aeruginea Thur. ex Bornet & Flahault;Calothrix aeruginea;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
No_clue;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Scytenometopsis;Sytonematopsis;Scytonematopsis crustacea;Calothrix crustaceae Thuret ex Bornet & Flahault;Scytonematopsis crustacea;SPECIES;PRESENT;PRESENT;not_found;unaccepted;marine;06.07.22;Photoautotroph;NA;NA;NA;worms_accepted_name_Scytonematopsis_crustacea_(Thuret_ex_Bornet_and_Flahault)_Koválik_and_Komárek_1988
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix contarenii;Calothrix contareni (Zanardini) Bornet & Flahault, 1886;Calothrix contareni;SPECIES;PRESENT;PRESENT;not_found;accepted;marine_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix parasitica;Calothrix parasitica (Chauv.) Thur. ex Bornet & Flahault;Calothrix parasitica;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix thermalis;Calothrix thermalis (Schwabe) Hansgirg;Calothrix thermalis;SPECIES;PRESENT;not_found;not_found;accepted;fresh_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix parasitica;Calothrix parasitica (Chauvin) Thuret, 1875;Calothrix parasitica;SPECIES;PRESENT;PRESENT;not_found;accepted;not_found;21.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix crustacea;Calothrix crustacea Schousboe;not_used;SPECIES;not_found;not_found;not_found;not_found;not_found;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix pulvinata;Calothrix pulvinata (Mertens) C.Agardh, 1824;Calothrix pulvinata;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix pulvinata;Calothrix parietina Thur. ex Bornet & Flahault;Calothrix parietina;SPECIES;not_found;PRESENT;not_found;not_found;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix pulvinata;Calothrix pulvinata C.Agardh ex Bornet & Flahault;Calothrix pulvinata;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix crustacea;Calothrix simulans Gardner;Calothrix simulans;SPECIES;PRESENT;not_found;not_found;accepted;fresh;21.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix fuscoviolacea;Calothrix fuscoviolacea P.L.Crouan & H.M.Crouan ex Bornet & Flahault, 1886;Calothrix fuscoviolacea;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
